scenario,forecast_basis,diagnostic,unit,draws,seed,mean,median,p05,p10,p25,p75,p90,p95,evidence_status
strong_network_repeat,probability_weighted,dac_cash_latent_credit,causal_credit,200000,69530760848,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,prior_driven_structural_diagnostic_not_empirical
strong_network_repeat,probability_weighted,direct_accepted_price_usd_per_hour,USD_per_hour,200000,69530760848,34.0617379944,21.737729662,0,0,0,48.2680700912,85.6320237347,117.810178414,prior_driven_structural_diagnostic_not_empirical
strong_network_repeat,probability_weighted,direct_cash_latent_credit,causal_credit,200000,69530760848,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,prior_driven_structural_diagnostic_not_empirical
strong_network_repeat,probability_weighted,direct_labor_latent_credit,causal_credit,200000,69530760848,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,prior_driven_structural_diagnostic_not_empirical
strong_network_repeat,probability_weighted,direct_payer_wtp_usd_per_hour,USD_per_hour,200000,69530760848,61.0977168588,38.914455242,8.21485287118,11.5949915418,20.5547681498,73.787381246,131.860075138,186.050171118,prior_driven_structural_diagnostic_not_empirical
strong_network_repeat,probability_weighted,direct_price_compatible,indicator,200000,69530760848,0.65585,1,0,0,0,1,1,1,prior_driven_structural_diagnostic_not_empirical
strong_network_repeat,probability_weighted,direct_price_overlap,proportion,200000,69530760848,0.302510635009,0.315145788613,0,0,0,0.521580717613,0.665720668687,0.732414715579,prior_driven_structural_diagnostic_not_empirical
strong_network_repeat,probability_weighted,direct_supplier_wta_usd_per_hour,USD_per_hour,200000,69530760848,40.3164404494,29.5814624119,8.10135602934,10.8210821526,17.4156276722,50.2400381042,80.8451349235,107.976802776,prior_driven_structural_diagnostic_not_empirical
strong_network_repeat,probability_weighted,redirect_cash_latent_credit,causal_credit,200000,69530760848,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,prior_driven_structural_diagnostic_not_empirical
reserve_constrained_dacs,conditional,dac_cash_latent_credit,causal_credit,200000,69520860832,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,prior_driven_structural_diagnostic_not_empirical
reserve_constrained_dacs,conditional,direct_accepted_price_usd_per_hour,USD_per_hour,200000,69520860832,33.9617162507,21.8600059333,0,0,0,48.2621553358,85.0916531139,116.447161553,prior_driven_structural_diagnostic_not_empirical
reserve_constrained_dacs,conditional,direct_cash_latent_credit,causal_credit,200000,69520860832,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,prior_driven_structural_diagnostic_not_empirical
reserve_constrained_dacs,conditional,direct_labor_latent_credit,causal_credit,200000,69520860832,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,prior_driven_structural_diagnostic_not_empirical
