scenario,forecast_basis,horizon,metric,unit,draws,seed,mean,median,p05,p10,p25,p75,p90,p95,probability_zero,probability_zero_or_negative,probability_negligible,probability_gt_100k,probability_gt_500k,probability_gt_1m,probability_gt_5m,evidence_status
central,conditional,year_5_annual,cash_operating_costs,USD,200000,69520260814,147000.280753,140134.636835,72738.6813612,84663.8654352,108460.971933,176626.184809,214728.106518,241980.978235,0,0,0,0.81024,0.000775,1e-05,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,net_causal_cash,USD,200000,69520260814,142994.989744,43200.8661549,-128746.332509,-103162.399551,-52663.0343541,233772.73679,520575.497439,752928.201728,0,0.403395,0.42782,0.40299,0.106645,0.02438,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,ordinary_action_hours,hours,200000,69520260814,816.987958328,186.730273091,4.09848848915,10.2812224916,43.2637697229,700.74536048,1984.77707767,3518.60594943,0,0,0,5e-06,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,skilled_work_hours,hours,200000,69520260814,212.857195377,39.9436895786,0.722073822024,1.87707744042,8.61386431572,162.347102876,502.967632487,932.802621873,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,support_review_coordination_hours,hours,200000,69520260814,319192.598791,309878.56615,144178.14796,174945.827915,236304.335421,398853.408381,477965.136271,518198.181598,0,0,0,0.99147,0.0705,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,completed_direct_trades,commitments,200000,69520260814,544.748386538,160.916761068,4.91077579162,11.3883482837,42.3780319587,527.342134971,1360.75216567,2282.99328035,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,completed_same_action_coacts,groups,200000,69520260814,17.7384732491,3.69731981626,0.0735048303523,0.186738081561,0.814150765993,14.4064273076,43.0454437418,77.9519755899,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,completed_complementary_role_coacts,groups,200000,69520260814,4.04331090664,0.68779757289,0.010942812024,0.029277763066,0.138871518857,2.92068514752,9.31929622316,17.6489087529,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,completed_dietary_animal_product,commitments_or_groups,200000,69520260814,128.318153635,37.7475116216,1.15867821693,2.68205518084,9.93762748413,123.793309325,320.678555745,538.588688562,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,completed_consumption_change,commitments_or_groups,200000,69520260814,102.654522908,30.1980092972,0.926942573541,2.14564414467,7.9501019873,99.0346474602,256.542844596,430.870950849,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,completed_transport_carbon,commitments_or_groups,200000,69520260814,94.0999793321,27.6815085225,0.849697359079,1.96684046595,7.28759348836,90.7817601719,235.164274213,394.965038279,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,completed_skilled_work,commitments_or_groups,200000,69520260814,138.802991912,35.1762888824,0.929811852864,2.22833385751,8.7986394896,123.496523686,337.817327326,596.766775942,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,completed_learning_forecasting_strategic_reasoning,commitments_or_groups,200000,69520260814,102.654522908,30.1980092972,0.926942573541,2.14564414467,7.9501019873,99.0346474602,256.542844596,430.870950849,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,successful_dac_projects,projects,200000,69520260814,1.44820093638,0.789727225344,0.181779458418,0.252776298906,0.431441415485,1.47787308373,2.67297885199,3.88825285294,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,lapsed_dac_projects,projects,200000,69520260814,262.500602402,158.408159717,29.7564391276,43.1287906298,79.8319296559,312.641356715,576.94454032,825.771389366,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,dac_project_funding,USD,200000,69520260814,7491.74328422,2117.20286644,316.213965491,493.525826391,905.214442274,6123.77444242,16464.9388329,29489.089026,0,0,0,0.00756,0.000225,2.5e-05,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,dac_project_target,USD,200000,69520260814,1719335.3941,474450.597892,34272.6307519,60917.7697372,162459.019381,1406923.78846,3768367.88921,6755422.94282,0,0,0,0.83494,0.48733,0.32182,0.072725,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,dac_gross_threshold,USD,200000,69520260814,1976506.12399,545618.187576,35850.784032,68804.8868114,186812.463232,1617962.35673,4333623.07259,7768736.38425,0,0,0,0.855575,0.52219,0.353765,0.08545,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,dac_required_surcharge,USD_internal_threshold_component,200000,69520260814,257170.729892,71167.5896838,1412.59220801,8149.45613486,24364.4747352,211038.568269,565255.183381,1013313.44142,0,0,0,0.416695,0.113875,0.050785,0.00378,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,dac_surcharge_inflow,USD_internal_transfer,200000,69520260814,1109.5216567,314.895668092,15.8339017923,65.8320053577,133.254379995,912.272783062,2438.67426531,4357.97332797,0,0,0,8.5e-05,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,dac_bonus_liability_locked,USD_internal_liability,200000,69520260814,1319.05336359,560.797758948,131.605633894,171.571020282,281.794373948,1063.09204355,2719.84031897,4815.65771884,0,0,0,2e-05,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,dac_bonus_liability_released,USD_internal_liability,200000,69520260814,476.343514433,132.511834414,18.0203875235,30.2909359208,56.1319810377,386.666356461,1046.12440451,1874.84035256,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,dac_bonus_paid,USD_internal_transfer,200000,69520260814,842.709849152,398.979947876,93.5229083009,120.262671744,198.183770881,785.716792728,1665.24380361,2928.34675648,0.000515,0.000465,0.000515,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,dac_reserve_cash,USD_reserve_state,200000,69520260814,1944.23760518,914.209811416,147.251399255,195.500151825,369.977684354,1972.53119382,3501.53545794,6247.64092339,0,0,0,0.00049,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,dac_free_reserve,USD_reserve_state,200000,69520260814,1944.23760518,914.209811416,147.251399255,195.500151825,369.977684354,1972.53119382,3501.53545794,6247.64092339,0,0,0,0.00049,0,0,0,prior_driven_synthetic_not_empirical
