scenario,forecast_basis,draws,seed,invariant,observed_max,tolerance,passed
strong_network_repeat,conditional,200000,69520760829,max_dac_accepted_over_willing_pledge,0,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_dac_funding_over_accepted_principal,2.32830643654e-10,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_dac_liability_over_reserve,1.45519152284e-11,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_dac_liability_settlement_error,1.45519152284e-11,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_dac_principal_reconciliation_error,2.32830643654e-10,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_dac_reserve_reconciliation_error,5.82076609135e-11,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_dac_threshold_reconciliation_error,0,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_dac_waiting_reconciliation_error,0,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_direct_accepted_price_above_wtp,0,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_direct_accepted_price_below_wta,0,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_direct_completion_over_match,0,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_direct_match_over_supply,-36.1707005095,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_direct_match_without_price_compatibility,0,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_direct_offered_over_time_budget,-148587.347132,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_direct_payment_over_demand,-157.053140546,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_direct_payment_reconciliation_error,1.16415321827e-10,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_displacement_over_new_cash,-0.0835250032088,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_field_cash_reconciliation_error,3.72529029846e-09,1e-05,True
strong_network_repeat,conditional,200000,69520760829,max_field_ordinary_reconciliation_error,2.91038304567e-11,1e-05,True
strong_network_repeat,conditional,200000,69520760829,max_field_skilled_reconciliation_error,1.45519152284e-11,1e-05,True
strong_network_repeat,conditional,200000,69520760829,max_net_cash_reconciliation_error,3.49245965481e-09,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_redirect_classification_reconciliation_error,9.31322574615e-10,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_redirect_principal_reconciliation_error,0,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_redirect_settlement_reconciliation_error,1.22236087918e-09,1e-07,True
strong_network_repeat,probability_weighted,200000,69530760848,max_cash_budget_overage,0,1e-07,True
strong_network_repeat,probability_weighted,200000,69530760848,max_dac_accepted_over_willing_pledge,0,1e-07,True
strong_network_repeat,probability_weighted,200000,69530760848,max_dac_funding_over_accepted_principal,1.16415321827e-10,1e-07,True
